Line 18: Cannot load control SSFrame1; license not found.
Line 53: Cannot load control pnlHeader; license not found.
Line 149: Cannot load control chkCommit; license not found.
Line 205: Cannot load control cmdSearch; license not found.
Line 218: Cannot load control cmdClear; license not found.
Line 229: Cannot load control cmdDelete; license not found.
Line 242: Cannot load control cmdAdd; license not found.
Line 255: Cannot load control cmdEdit; license not found.
Line 266: Cannot load control cmdExit; license not found.
Line 278: Cannot load control cmdOK; license not found.
